date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2021-01-06,30075419.449896384,30071228.964985386,0.9998606674491114
2021-01-07,30314142.599896386,30319237.16498539,1.0001680590197204
2021-01-08,30656124.849896386,30661942.264985386,1.0001897635502688
2021-01-11,30724621.504323263,30727475.42340901,1.0000928870380177
2021-01-12,30433193.554323263,30445464.773409013,1.000403218251277
2021-01-13,30640067.641397137,30634974.546502635,0.9998337766432467
2021-01-14,30604621.541397136,30601511.996502634,0.9998983962310956
2021-01-15,30314029.391397137,30314295.996502638,1.0000087947762424
2021-01-18,30226617.041397136,30214897.646502633,0.9996122822848996
2021-01-19,30319308.191397138,30300329.746502634,0.9993740475615506
2021-01-20,29912871.975105137,29899943.596502636,0.9995677988187406
2021-01-21,30044917.025105137,30035451.310444262,0.9996849478847631
2021-01-22,29807304.577632632,29809573.360444263,1.0000761149940856
2021-01-25,29884857.277632635,29910973.76044426,1.000873903548175
2021-01-26,29705158.477632634,29714210.810444262,1.0003047394215534
2021-01-27,29670185.177632634,29677108.560444262,1.0002333447792853
2021-01-28,29476752.377632637,29492352.41044426,1.0005292317352932
2021-01-29,29155567.127632633,29160658.81044426,1.000174638441754
2021-02-01,29414879.477632634,29436107.160444263,1.000721664789678
2021-02-02,29582556.677632634,29610396.86044426,1.0009411013089573
2021-02-03,29727730.227632634,29738278.11044426,1.0003548162853624
2021-02-04,29680440.127632633,29691339.01044426,1.0003672075873795
2021-02-05,29786780.077632632,29809884.060444262,1.0007756455297085
2021-02-17,30389196.827632636,30391374.310444262,1.0000716531872815
2021-02-18,30435629.627632633,30422030.46044426,0.9995531826561582
2021-02-19,30381828.577632632,30367737.46044426,0.9995361991740436
2021-02-22,30354910.877632633,30336051.66044426,0.9993787095187201
2021-02-23,30713061.477632634,30697428.56044426,0.9994910010127203
2021-02-24,30640180.877632633,30607043.360444263,0.9989184947268845
2021-02-25,30879174.327632636,30866618.860444263,0.999593400164941
2021-02-26,30468341.977632634,30409591.31044426,0.9980717471521258
2021-03-02,30452546.777632635,30449315.21044426,0.9998938818742494
2021-03-03,30723852.477632634,30716066.610444263,0.9997465855821942
2021-03-04,30554962.527632635,30527349.03196026,0.9990962680563786
