id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+BOTH__BB_PCTB_LT0__RSI14_GT70,KD+BOTH,BB_PCTB_LT0+RSI14_GT70,-2.333075814664576,-1.3898435240619178,1.886464581205316,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8737126722444994,4365,0.1303696255124478,-0.23776565808201588
KD+BUY_AND_D9_LT20,KD+BUY_AND_LOW,D9_LT20,-2.343446343874278,0.06455244741689903,4.815997582582354,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8840832014542017,7163,0.10788817322994437,-0.22322169836722783
KD+BOTH__MACD_HIST_NEG__RSI14_GT70,KD+BOTH,MACD_HIST_NEG+RSI14_GT70,-2.363070073181839,-1.6053163163085693,1.515507513746539,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.9037069307617625,3510,0.13400787801053204,-0.23992038600448262
KD+BOTH__MFI14_LT20__RSI6_GT80,KD+BOTH,MFI14_LT20+RSI6_GT80,-2.4294978534515232,-0.9892678570287972,2.880459992845452,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.970134711031447,5679,0.12343323354422786,-0.23375990141168468
KD+BOTH__MFI14_LT20__K9_GT70,KD+BOTH,MFI14_LT20+K9_GT70,-2.4939088661137587,-0.8815306735375339,3.2247563851524497,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.0345457236936824,6743,0.12401381462037353,-0.23268252957677216
KD+BOTH__BELOW_MA120__RSI14_GT70,KD+BOTH,BELOW_MA120+RSI14_GT70,-2.5193748057400267,-1.2166224304309692,2.605504750618115,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.0600116633199503,3810,0.1285682450278962,-0.2360334471457065
KD+BOTH__MACD_HIST_NEG__D9_GT80,KD+BOTH,MACD_HIST_NEG+D9_GT80,-2.5403178187240805,-2.022272750506171,1.0360901364358188,ALERT,PAUSE_REVIEW,False,False,-3.080954676304004,3987,0.13620943045893563,-0.24408995034645864
KD+BOTH__MACD_HIST_NEG__K9_GT70,KD+BOTH,MACD_HIST_NEG+K9_GT70,-2.5672405574887813,-1.8001345710579542,1.5342119728616543,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.107877415068705,4622,0.13473793364733289,-0.24186856855197647
KD+BOTH__BELOW_MA120__MFI14_GT80,KD+BOTH,BELOW_MA120+MFI14_GT80,-2.6048233326942283,-1.648130198194775,1.9133862689989067,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.145460190274152,4029,0.13263568986544394,-0.24034852482334446
KD+BOTH__MACD_HIST_NEG__K9_GT80,KD+BOTH,MACD_HIST_NEG+K9_GT80,-2.6168126854769547,-1.5889560419618864,2.0557132870301364,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.1574495430568783,4303,0.13026690770785465,-0.2397567832610158
KD+BOTH__K9_LT20__CCI20_GT100,KD+BOTH,K9_LT20+CCI20_GT100,-2.6191287713718148,-1.4993506689160219,2.239556204911586,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.1597656289517384,5076,0.1273993585335187,-0.23886072953055704
