date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2021-08-25,1111837931.268042,1090944018.9781368,0.9812077716524062
2021-08-26,1114060087.068042,1094097249.1781366,0.9820810043177803
2021-08-27,1136936133.6680422,1113638559.643281,0.9795084584482354
2021-08-30,1150966419.3215256,1127930954.593281,0.9799859801801832
2021-08-31,1162029089.7215257,1137360865.093281,0.9787714224657179
2021-09-01,1148582495.9215257,1127819778.843281,0.9819231817026896
2021-09-02,1145949309.2215257,1121098174.793281,0.9783139321885654
2021-09-03,1161142668.855868,1134153798.1959455,0.9767566282905475
2021-09-06,1160827114.0558681,1132488832.6459453,0.975587853637472
2021-09-07,1158343615.755868,1130053007.3459454,0.97557666997503
2021-09-08,1158352523.105868,1130572605.4959455,0.9760177346224128
2021-09-09,1152438558.6558683,1123748465.0459454,0.9751048822564691
2021-09-10,1159793966.605868,1130772365.2459455,0.9749769336661974
2021-09-13,1162085490.4058683,1132233003.3459454,0.9743112814793886
2021-09-14,1167483886.455868,1137443134.4959455,0.974268808067992
2021-09-15,1163946491.8540993,1134104337.938514,0.9743612321318582
2021-09-16,1172792633.9640996,1139601448.5085142,0.9716990160968205
2021-09-17,1168873288.9140995,1133492593.4585142,0.9697309402215407
2021-09-22,1154248786.8140993,1121360677.6585143,0.9715069146865979
2021-09-23,1168137859.3640993,1134048297.7585142,0.9708171759588868
2021-09-24,1172837790.6140995,1138116470.2085142,0.9703954624557202
2021-09-27,1172239959.1140995,1137219241.5085142,0.9701249583472212
2021-09-28,1168698184.3140993,1135305366.7585142,0.9714273385517552
2021-09-29,1160932680.7140994,1128713139.2585142,0.9722468477364539
2021-09-30,1162645332.5140994,1129900328.0085142,0.9718357752017311
2021-10-01,1155704915.2640994,1123642062.1585143,0.972256886094269
2021-10-04,1154482564.7460506,1123699821.958354,0.9733363294278352
2021-10-05,1149812004.9172711,1119795539.0282428,0.9738944577368646
2021-10-06,1155289719.2238748,1123968550.3225803,0.9728889053714284
2021-10-07,1160743426.1228566,1129798201.1025965,0.9733401677547087
2021-10-08,1154145318.1228566,1123643650.4606943,0.9735720734787788
