date,nav_core
2022-12-02,3329089.123343219
2022-12-05,3320278.9372617016
2022-12-06,3293603.041322282
2022-12-07,3340247.5025458997
2022-12-08,3325154.531397294
2022-12-09,3344253.873451721
2022-12-12,3349849.288736362
2022-12-13,3306388.6753221746
2022-12-14,3344487.155900543
2022-12-15,3345187.644834012
2022-12-16,3320557.1044886056
2022-12-19,3339018.992343124
2022-12-20,3329741.5854540146
2022-12-21,3320052.4489164404
2022-12-22,3347345.21948623
2022-12-23,3318321.697819914
2022-12-26,3331849.3133002687
2022-12-27,3339120.5377543787
2022-12-28,3322051.899774719
2022-12-29,3301076.6955404673
2022-12-30,3314820.544975248
2023-01-03,3337727.272766729
2023-01-04,3337538.7560221516
2023-01-05,3351281.0451227035
2023-01-06,3361871.5725595173
2023-01-09,3433898.8417777685
2023-01-10,3442696.318227748
2023-01-11,3401602.561620683
2023-01-12,3369651.2571767736
2023-01-13,3375666.1186718848
