date,nav_base,nav_l4,rel_l4_vs_base
2024-08-26,49166301.149704486,49230709.705237515,1.0013100142582805
2024-08-27,49047378.37294381,49166155.511930786,1.0024216817071
2024-08-28,48921206.155600734,49036554.21359434,1.002357833484864
2024-08-29,48588287.712019876,48730264.50995318,1.002922037483082
2024-08-30,48887051.21262094,49050552.87175871,1.003344477833745
2024-09-02,48876854.187236294,49063011.62088136,1.0038087032551632
2024-09-03,48756235.053676546,48945952.50137579,1.0038911422814
2024-09-04,47690796.156574346,47946524.89793469,1.0053622242019353
2024-09-05,48335670.69754502,48556205.058299564,1.004562559235694
2024-09-06,48777399.31601021,49002186.828437306,1.0046084357833591
2024-09-09,48443454.041848645,48652285.12971695,1.0043108215959973
2024-09-10,48684457.37402806,48839297.538916714,1.0031804845579169
2024-09-11,48461634.98537442,48704517.55752069,1.0050118526174276
2024-09-12,49040908.131949,49136652.57515793,1.0019523382999214
2024-09-13,49023748.003155306,49159938.535903044,1.0027780522358056
2024-09-16,49057796.67775237,49174641.98844395,1.002381788800241
2024-09-18,48992789.132594645,49165315.49042624,1.0035214642988517
2024-09-19,49392305.54914205,49465333.134462394,1.0014785214925368
2024-09-20,49550662.95450029,49679986.715552926,1.0026099299856268
2024-09-23,49905310.03872396,50024741.852079146,1.0023931684476564
2024-09-24,49975927.0789205,50055599.12154722,1.0015942083975933
2024-09-25,50038221.07589789,49963348.64682652,0.9985036952261392
2024-09-26,50154528.14180988,50057814.557408795,0.9980716878817475
2024-09-27,49784949.6939906,49724427.234785035,0.9987843221781366
2024-09-30,49426265.49275523,49344745.442294024,0.9983506734800113
2024-10-01,49367821.82697822,49288352.26683307,0.9983902558953548
2024-10-04,49048218.793475226,48864513.75878261,0.9962546033431686
2024-10-07,49369183.34497585,49087266.93848242,0.9942896279137637
2024-10-08,48784641.5348395,48518108.492923185,0.9945365378625162
2024-10-09,48789014.93615393,48522746.467898525,0.9945424504142203
2024-10-11,48954393.22209895,48640921.12938616,0.9935966504315432
2024-10-14,49313773.505547665,48975791.33415392,0.9931462926608988
2024-10-15,50015035.446529396,49674472.42394037,0.993190787139337
2024-10-16,49263647.858442895,48906675.52842466,0.9927538388743768
2024-10-17,49460093.35212317,49078182.26020373,0.992278399290505
2024-10-18,50143875.84170353,49772500.72056649,0.9925938090164906
2024-10-21,49669938.67428383,49301915.215675525,0.9925906198310076
2024-10-22,49978197.21287941,49633205.5100415,0.9930971559184409
2024-10-23,49277517.99709506,48929003.37172529,0.9929275125952911
